transcript_id	cluster_int	sample_id	expression_value
AGER_NM_001136	2	S01864	0.6129704957254982
AGER_NM_001136	2	S01873	2.0773312946151395e-4
AGER_NM_001136	2	S02065	1.8754913624940893e-5
AGER_NM_001136	2	S02120	0
AGER_NM_001136	2	S02139	3.462426549184579e-5
AGER_NM_001136	2	S02163	1.3076908095381907
AGER_NM_001136	2	S02194	1.5368138455300673
AGER_NM_001136	2	S02209	2.4951143865659358
AGER_NM_001136	2	S02241	0.8351342149062249
AGER_NM_001136	2	S02243	1.3600945361893015
AGER_NM_001136	2	S02248	0.7033231127141939
AGER_NM_001136	2	S02256	0.18850727117357732
AGER_NM_001136	2	S02285	2.8853871964746634e-6
AGER_NM_001136	2	S02286	2.0641068150262027
AGER_NM_001136	2	S02287	0.8184538470052075
AGER_NM_001136	2	S02288	1.7312236617312745e-5
AGER_NM_001136	2	S02289	1.2118221188206935
AGER_NM_001136	2	S02290	1.4426943194232382e-6
AGER_NM_001136	2	S02291	0
AGER_NM_001136	2	S02293	5.596571094054957e-4
AGER_NM_001136	2	S02294	0.37984494497390214
AGER_NM_001136	2	S02297	0.9750446259975857
AGER_NM_001136	2	S02322	0.593841360138621
AGER_NM_001136	2	S02342	0
AGER_NM_001136	2	S02347	3.130308612525577e-4
AGER_NM_001136	2	S02350	0.8628671291232326
AGER_NM_001136	2	S02351	1.1289202365832431
AGER_NM_001136	2	S02352	2.3065538994965364
AGER_NM_001136	2	S02353	0.8435811191999961
AGER_NM_001136	2	S02354	1.8560933125683725
AGER_NM_001136	2	S02360	2.178086760946302
AGER_NM_001136	2	S02375	0.8496310351032599
AGER_NM_001136	2	S02376	2.267299074789284
AGER_NM_001136	2	S02382	1.4634602883967605
AGER_NM_001136	2	S02397	2.4485177669637874
AGER_NM_001136	1	S00356	5.820679350367098
AGER_NM_001136	1	S00825	5.886228211905268
AGER_NM_001136	1	S00832	3.316179057155626
AGER_NM_001136	1	S00836	3.2904612670247793
AGER_NM_001136	1	S00837	4.726956521205315
AGER_NM_001136	1	S01242	2.9366115580520535
AGER_NM_001136	1	S01563	6.255708436068689
AGER_NM_001136	1	S02093	3.6881915509022463
AGER_NM_001136	1	S02234	3.6827642957295463
AGER_NM_001136	1	S02242	3.263513721741491
AGER_NM_001136	1	S02244	3.299807322232432
AGER_NM_001136	1	S02246	8.001914808080217
AGER_NM_001136	1	S02249	4.576860702224192
AGER_NM_001136	1	S02255	4.25441263661076
AGER_NM_001136	1	S02284	3.7043186777608317
AGER_NM_001136	1	S02295	3.6960939967869577
AGER_NM_001136	1	S02296	4.379821938430113
AGER_NM_001136	1	S02298	3.7085404157503437
AGER_NM_001136	1	S02299	5.016679052072252
AGER_NM_001136	1	S02328	6.089597722512937
AGER_NM_001136	1	S02378	5.326630821166085
AHCYL1_NM_001242674	1	S00022	2.8853871964746634e-6
AHCYL1_NM_001242674	1	S00050	1.4426943194232382e-6
AHCYL1_NM_001242674	1	S00356	6.505087847336275e-4
AHCYL1_NM_001242674	1	S00472	7.485644905344674e-4
AHCYL1_NM_001242674	1	S00501	5.914928412434764e-5
AHCYL1_NM_001242674	1	S00827	1.4426943194232382e-6
AHCYL1_NM_001242674	1	S00830	1.4426943194232382e-6
AHCYL1_NM_001242674	1	S00831	0.0038353516077001513
AHCYL1_NM_001242674	1	S00832	0.5126466105128787
AHCYL1_NM_001242674	1	S00836	1.4426943194232382e-6
AHCYL1_NM_001242674	1	S00837	1.4426943194232382e-6
AHCYL1_NM_001242674	1	S01242	0.0014722401859609902
